"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","安全管理平台PC端","登录","0","0","7","0","0"
"","安全管理平台PC端","相关方人力资源库","0","0","15","0","0"
"","安全管理平台PC端","相关方企业黑名单","0","0","14","0","0"
"","安全管理平台PC端","人员黑名单","0","0","14","0","0"
"","准入证模块","相关方单位注册","0","0","0","12","0"
"","企业级角色模块","相关方单位登录","0","0","0","4","0"
"","安全管理平台PC端","相关方企业列表","1","0","12","0","0"
"","准入证模块","业务流程","0","0","0","1","0"
