"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","72","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_001 基础查询-默认分页","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","45","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_011 动态组合过滤-企业名+法人","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","12","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_008 边界-负数分页","{tc.description}"
"passed","Mon Jul 27 15:46:57 CST 2026","Mon Jul 27 15:46:57 CST 2026","47","testcases.modules.safety","test_supplier_list","TestSupplierList","","","TC_SUP_015 空字符串过滤","{tc.description}"
"failed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","25","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_006 边界-pageNum超出总页数","{tc.description}"
"failed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","25","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_004 异常注册-缺少法定代表人","{tc.description}"
"failed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:55 CST 2026","24","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_005 异常注册-缺少营业执照号","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","39","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_011 动态组合过滤-姓名+身份证","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","20","testcases.modules.safety","test_login","TestLogin","","","TC_LOGIN_002 错误密码登录","{tc.description}"
"passed","Mon Jul 27 15:46:54 CST 2026","Mon Jul 27 15:46:54 CST 2026","137","testcases.modules.coordination","test_flow","TestCoordinationFlow","","","完整流程: 注册->登录","验证相关方单位从注册到登录的完整业务链路：
1. 注册相关方单位，获取返回的 account 和 password
2. 使用该 account 和 password 登录
3. 验证登录成功并返回 accesstoken"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","100","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_002 第二页查询","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","43","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_011 动态组合过滤-企业名+营业执照","{tc.description}"
"failed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","22","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_007 异常注册-无效电话格式(过短)","{tc.description}"
"passed","Mon Jul 27 15:46:58 CST 2026","Mon Jul 27 15:46:58 CST 2026","139","testcases.modules.safety","test_userinfo_list","TestUserinfoList","","","TC_USR_012 动态过滤-按身份证号","{tc.description}"
"passed","Mon Jul 27 15:46:56 CST 2026","Mon Jul 27 15:46:56 CST 2026","17","testcases.modules.safety","test_debar_supplier_list","TestDebarSupplierList","","","TC_DBS_014 SQL注入-企业名称","{tc.description}"
"failed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","21","testcases.modules.coordination","test_unit_register","TestUnitRegister","","","TC_REG_009 异常注册-缺少协力种类","{tc.description}"
"passed","Mon Jul 27 15:46:55 CST 2026","Mon Jul 27 15:46:55 CST 2026","35","testcases.modules.safety","test_debar_emp_list","TestDebarEmpList","","","TC_DEM_009 动态过滤-按人员姓名","{tc.description}"
